Case #1
29 8
8 29
32 8
11 32
30 11
11 30
31 11
13 31
28 13
12 28
28 12
14 28
25 14
14 25
24 14
11 24
28 11
10 28
28 10
16 28
23 16
14 23
25 14
20 25
21 20
18 21
21 18
14 21
25 14
9 25
28 9
8 28
29 8
5 29
33 5
7 33
28 7
5 28
35 5
4 35
35 4
2 35
34 2
2 34
33 2
1 33
32 1
4 32
28 4
13 28
26 13
13 26
23 13
17 23
22 17
19 22
20 19
16 20
19 16
17 19
16 17
17 16
22 17
8 22
25 8
10 25
23 10
11 23
30 11
1 30
35 1
6 35
26 6
7 26
25 7
6 25
25 6
7 25
31 7
3 31
31 3
3 31
28 3
3 28
25 3
7 25
23 7
11 23
21 11
8 21
22 8
3 22
22 3
7 22
24 7
12 24
20 12
13 20
19 13
12 19
19 12
18 19
15 18
17 15
14 17
17 14
12 17
15 12
12 15
18 12
11 18
19 11
10 19
18 10
7 18
23 7
27 23
4 27
26 4
5 26
23 5
4 23
23 4
6 23
21 6
8 21
16 8
14 16
11 14
17 11
10 17
15 10
8 15
19 8
6 19
19 6
6 19
18 6
6 18
21 6
9 21
14 9
8 14
17 8
7 17
17 7
6 17
20 6
4 20
18 4
4 18
29 4
1 29
28 1
2 28
26 2
1 26
17 1
13 17
13 13
12 13
10 12
13 10
11 13
10 11
6 10
14 6
8 14
13 8
7 13
24 7
2 24
20 2
3 20
16 3
1 16
14 1
1 14
17 1
4 17
21 4
5 21
15 5
5 15
11 5
7 11
12 7
9 12
6 9
13 6
4 13
19 4
2 19
15 2
2 15
15 2
3 15
11 3
8 11
8 8
4 8
9 4
1 9
12 1
2 12
6 2
2 6
8 2
7 8
1 7
8 1
4 8
10 4
5 10
5 5
4 5
5 4
2 5
5 2
3 5
3 3
1 3
3 1
1 3
4 1
2 4
37 2

Case #13
some beads may be lost

Case #14
48 11
45 48
43 45
46 43
42 46
41 42
45 41
49 45
38 49
39 38
50 39
50 50
36 50
50 36
47 50
35 47
50 35
27 50
50 27
28 50
48 28
24 48
50 24
32 50
47 32
36 47
39 36
35 39
46 35
37 46
36 37
31 36
35 31
37 35
49 37
33 49
37 33
32 37
32 32
46 32
44 46
44 44
43 44
26 43
37 26
34 37
31 34
41 31
20 41
39 20
20 39
48 20
14 48
50 14
30 50
46 30
28 46
46 28
40 46
28 40
35 28
24 35
46 24
17 46
49 17
18 49
39 18
19 39
37 19
44 37
22 44
26 22
42 26
12 42
40 12
13 40
37 13
12 37
37 12
23 37
34 23
19 34
41 19
11 41
41 11
29 41
32 29
11 32
37 11
20 37
38 20
27 38
27 27
20 27
26 20
22 26
23 22
35 23
45 35
25 45
25 25
25 25
20 25
20 20
23 20
18 23
45 18
7 45
34 7
19 34
35 19
17 35
31 17
11 31
50 11
9 50
39 9
3 39
35 3
13 35
43 13
10 43
28 10
10 28
32 10
12 32
27 12
17 27
23 17
18 23
25 18
47 25
14 47
36 14
14 36
44 14
30 44
11 30
30 11
19 30
17 19
26 17
10 26
23 10
10 23
26 10
7 26
37 7
6 37
49 6
1 49
44 1
1 44
43 1
4 43
34 4
6 34
36 6
2 36
36 2
15 36
15 15
10 15
19 10
17 19
25 17
11 25
29 11
5 29
26 5
7 26
28 7
9 28
41 9
1 41
34 1
14 34
24 14
12 24
27 12
8 27
32 8
16 32
11 16
30 11
3 30
32 3
2 32
31 2
6 31
19 6
9 19
23 9
14 23
46 14
21 46
18 21
17 18
18 17
12 18
12 12
10 12
18 10
6 18
28 6
2 28
24 2
8 24
23 8
2 23
26 2
7 26
9 7
6 9
7 6
22 7
1 22
26 1
4 26
12 4
17 12
20 17
14 20
11 14
25 11
5 25
20 5
2 20
17 2
8 17
10 8
14 10
13 14
11 13
16 11
1 16
15 1
5 15
7 5
14 7
2 14
25 2
3 25
10 3
1 10
2 1
8 2
11 8

Case #15
34 23
38 34
29 38
44 29
49 44
43 49
45 43
41 45
40 41
49 40
47 49
50 47
42 50
47 42
26 47
49 26
24 49
47 24
33 47
40 33
44 40
17 44
49 17
19 49
34 19
50 34
35 50
29 35
33 29
14 33
35 14
36 35
41 36
22 41
47 22
26 47
38 26
48 38
25 48
43 25
39 43
45 39
32 45
40 32
46 40
24 46
50 24
11 50
47 11
9 47
48 9
21 48
36 21
39 36
22 39
43 22
10 43
50 10
18 50
40 18
10 40
46 10
6 46
43 6
13 43
36 13
31 36
42 31
25 42
42 25
16 42
45 16
9 45
45 9
24 45
19 24
38 19
22 38
32 22
25 32
31 25
25 31
18 25
28 18
10 28
39 10
5 39
49 5
15 49
41 15
8 41
40 8
16 40
44 16
3 44
36 3
26 36
10 26
33 10
20 33
19 20
29 19
27 29
23 27
31 23
22 31
31 22
14 31
38 14
15 38
34 15
3 34
41 3
9 41
26 9
9 26
25 9
3 25
37 3
4 37
33 4
16 33
24 16
13 24
38 13
6 38
50 6
7 50
32 7
12 32
24 12
21 24
10 21
29 10
2 29
19 2
18 19
17 18
2 17
44 2
30 44
1 30
33 1
6 33
27 6
23 27
16 23
22 16
4 22
28 4
7 28
26 7
7 26
24 7
9 24
23 9
13 23
8 13
5 8
2 5
19 2
1 19
24 1
6 24
16 6
6 16
15 6
7 15
18 7
3 18
22 3
9 22
1 9
16 1
3 16
43 3
11 43
14 11
3 14
23 3

Case #16
some beads may be lost

Case #17
47 29
50 47
50 50
49 50
44 49
49 44
43 49
48 43
47 48
47 47
43 47
47 43
41 47
47 41
40 47
50 40
42 50
49 42
42 49
48 42
44 48
43 44
46 43
40 46
47 40
42 47
43 42
45 43
41 45
45 41
38 45
49 38
36 49
48 36
34 48
49 34
39 49
43 39
38 43
44 38
36 44
44 36
37 44
42 37
38 42
47 38
34 47
49 34
31 49
45 31
34 45
42 34
31 42
49 31
30 49
42 30
38 42
38 38
37 38
41 37
31 41
46 31
26 46
50 26
24 50
49 24
24 49
49 24
33 49
48 33
33 48
48 33
33 48
47 33
32 47
36 32
43 36
40 43
34 40
32 34
38 32
31 38
38 31
31 38
36 31
43 36
29 43
45 29
26 45
46 26
25 46
48 25
35 48
44 35
26 44
47 26
27 47
38 27
29 38
41 29
26 41
42 26
39 42
25 39
38 25
25 38
47 25
24 47
47 24
23 47
49 23
22 49
49 22
19 49
50 19
17 50
49 17
20 49
46 20
23 46
48 23
22 48
43 22
24 43
45 24
20 45
47 20
28 47
40 28
24 40
38 24
26 38
41 26
18 41
41 18
22 41
39 22
23 39
44 23
16 44
47 16
19 47
46 19
19 46
48 19
17 48
50 17
14 50
48 14
14 48
47 14
13 47
48 13
11 48
47 11
12 47
49 12
21 49
40 21
16 40
45 16
11 45
47 11
12 47
49 12
4 49
49 4
8 49
47 8
8 47
50 8
3 50
49 3
2 49
49 2
10 49
40 10
30 40
36 30
29 36
34 29
27 34
34 27
35 34
33 35
29 33
33 29
37 33
28 37
36 28
26 36
36 26
25 36
37 25
24 37
38 24
23 38
36 23
25 36
34 25
28 34
29 28
33 29
26 33
35 26
24 35
34 24
24 34
34 24
24 34
33 24
24 33
33 24
27 33
31 27
25 31
28 25
25 28
31 25
32 31
24 32
42 24
20 42
38 20
16 38
46 16
12 46
46 12
15 46
44 15
19 44
43 19
15 43
41 15
12 41
43 12
11 43
42 11
8 42
46 8
9 46
40 9
8 40
47 8
5 47
48 5
2 48
47 2
7 47
43 7
14 43
38 14
21 38
39 21
18 39
37 18
21 37
35 21
30 35
22 30
34 22
21 34
36 21
23 36
31 23
26 31
29 26
23 29
29 23
24 29
26 24
25 26
23 25
24 23
27 24
22 27
31 22
21 31
30 21
21 30
29 21
21 29
21 21
23 21
24 23
28 24
17 28
39 17
12 39
44 12
13 44
38 13
13 38
28 13
17 28
33 17
14 33
33 14
20 33
36 20
19 36
35 19
19 35
26 19
19 26
29 19
18 29
29 18
20 29
27 20
17 27
25 17
19 25
23 19
17 23
26 17
18 26
34 18
12 34
36 12
11 36
36 11
11 36
35 11
11 35
44 11
6 44
45 6
2 45
44 2
6 44
46 6
3 46
46 3
5 46
42 5
7 42
43 7
6 43
41 6
7 41
38 7
3 38
38 3
5 38
39 5
2 39
38 2
10 38
36 10
10 36
36 10
7 36
40 7
6 40
41 6
4 41
40 4
8 40
34 8
8 34
34 8
11 34
31 11
14 31
25 14
18 25
24 18
18 24
37 18
16 37
32 16
8 32
35 8
7 35
34 7
7 34
32 7
12 32
25 12
22 25
22 22
19 22
17 19
22 17
20 22
30 20
11 30
30 11
16 30
29 16
11 29
33 11
5 33
31 5
4 31
33 4
10 33
30 10
4 30
40 4
15 40
27 15
16 27
22 16
14 22
17 14
24 17
15 24
23 15
12 23
26 12
13 26
27 13
9 27
37 9
2 37
38 2
3 38
41 3
1 41
30 1
7 30
27 7
11 27
25 11
8 25
26 8
13 26
24 13
11 24
29 11
10 29
24 10
8 24
24 8
9 24
22 9
12 22
21 12
15 21
20 15
12 20
23 12
11 23
21 11
10 21
20 10
13 20
28 13
5 28
34 5
6 34
32 6
2 32
37 2
3 37
31 3
3 31
31 3
3 31
28 3
6 28
27 6
3 27
27 3
3 27
27 3
5 27
26 5
7 26
29 7
1 29
27 1
2 27
26 2
3 26
25 3
2 25
26 2
7 26
24 7
7 24
24 7
2 24
25 2
1 25
21 1
4 21
22 4
16 22
12 16
17 12
18 17
15 18
13 15
14 13
13 14
13 13
15 13
8 15
13 8
8 13
23 8
5 23
19 5
9 19
20 9
11 20
12 11
8 12
20 8
1 20
21 1
2 21
14 2
18 14
7 18
18 7
5 18
19 5
10 19
10 10
8 10
17 8
4 17
16 4
4 16
17 4
5 17
23 5
3 23
19 3
3 19
16 3
3 16
13 3
7 13
12 7
2 12
17 2
6 17
6 6
15 6
1 15
12 1
1 12
15 1
4 15
8 4
10 8
11 10
3 11
11 3
3 11
11 3
7 11
3 7
9 3
2 9
7 2
3 7
3 3
8 3
10 8
1 10
16 1
5 16
2 5
2 2
2 2
3 2
6 3
1 6
5 1
4 5
1 4
1 1
29 1

Case #18
some beads may be lost

Case #19
50 33
46 50
50 46
46 50
49 46
47 49
49 47
46 49
48 46
43 48
48 43
47 48
46 47
50 46
42 50
50 42
44 50
47 44
46 47
46 46
46 46
49 46
42 49
44 42
42 44
47 42
41 47
41 41
41 41
44 41
42 44
50 42
39 50
50 39
32 50
50 32
40 50
49 40
38 49
49 38
38 49
47 38
38 47
49 38
45 49
46 45
43 46
46 43
45 46
43 45
45 43
43 45
48 43
37 48
48 37
36 48
47 36
33 47
47 33
40 47
45 40
43 45
42 43
46 42
39 46
45 39
38 45
46 38
37 46
46 37
36 46
45 36
40 45
44 40
38 44
44 38
35 44
48 35
31 48
49 31
34 49
44 34
36 44
46 36
33 46
44 33
39 44
43 39
39 43
42 39
39 42
41 39
38 41
42 38
40 42
38 40
39 38
38 39
43 38
37 43
43 37
34 43
43 34
33 43
43 33
33 43
44 33
36 44
42 36
34 42
42 34
33 42
47 33
32 47
47 32
31 47
48 31
30 48
46 30
30 46
46 30
32 46
50 32
29 50
50 29
27 50
50 27
26 50
49 26
28 49
47 28
28 47
46 28
29 46
48 29
25 48
47 25
26 47
49 26
24 49
47 24
24 47
48 24
22 48
49 22
27 49
46 27
25 46
46 25
32 46
44 32
35 44
41 35
36 41
45 36
31 45
44 31
27 44
44 27
26 44
44 26
29 44
45 29
30 45
43 30
37 43
39 37
37 39
40 37
36 40
39 36
38 39
38 38
36 38
37 36
36 37
36 36
38 36
35 38
36 35
39 36
33 39
39 33
33 39
39 33
33 39
39 33
33 39
42 33
31 42
42 31
30 42
43 30
29 43
42 29
29 42
42 29
32 42
39 32
32 39
41 32
31 41
39 31
31 39
41 31
30 41
39 30
33 39
38 33
34 38
37 34
30 37
37 30
30 37
41 30
29 41
45 29
25 45
44 25
25 44
46 25
23 46
46 23
23 46
50 23
21 50
49 21
21 49
48 21
20 48
50 20
19 50
48 19
18 48
44 18
22 44
46 22
24 46
45 24
28 45
39 28
29 39
37 29
32 37
38 32
31 38
38 31
33 38
36 33
34 36
33 34
36 33
32 36
36 32
30 36
36 30
29 36
36 29
29 36
36 29
31 36
34 31
33 34
31 33
33 31
31 33
33 31
32 33
32 32
40 32
26 40
42 26
22 42
45 22
23 45
40 23
27 40
39 27
28 39
36 28
28 36
37 28
27 37
39 27
26 39
37 26
27 37
35 27
26 35
34 26
27 34
43 27
24 43
43 24
21 43
47 21
19 47
46 19
19 46
50 19
16 50
50 16
15 50
50 15
10 50
50 10
10 50
50 10
7 50
50 7
5 50
50 5
17 50
47 17
17 47
46 17
17 46
46 17
19 46
49 19
12 49
49 12
15 49
48 15
16 48
47 16
15 47
47 15
14 47
47 14
13 47
47 13
14 47
48 14
11 48
47 11
10 47
47 10
20 47
45 20
19 45
42 19
24 42
37 24
24 37
39 24
25 39
38 25
23 38
37 23
24 37
36 24
23 36
39 23
22 39
38 22
22 38
36 22
22 36
34 22
24 34
41 24
19 41
43 19
18 43
45 18
20 45
38 20
18 38
44 18
16 44
46 16
10 46
46 10
10 46
47 10
15 47
45 15
14 45
44 14
14 44
43 14
14 43
44 14
13 44
44 13
12 44
44 12
13 44
45 13
17 45
42 17
21 42
40 21
21 40
36 21
21 36
34 21
21 34
34 21
19 34
34 19
19 34
34 19
24 34
35 24
29 35
29 29
29 29
32 29
28 32
33 28
27 33
33 27
21 33
36 21
20 36
33 20
26 33
32 26
28 32
29 28
27 29
27 27
26 27
26 26
30 26
31 30
25 31
32 25
23 32
31 23
25 31
27 25
29 27
23 29
31 23
20 31
32 20
24 32
30 24
21 30
40 21
17 40
38 17
17 38
42 17
14 42
42 14
13 42
42 13
13 42
41 13
13 41
42 13
16 42
39 16
13 39
43 13
12 43
45 12
10 45
48 10
8 48
44 8
8 44
47 8
11 47
43 11
12 43
42 12
14 42
40 14
11 40
42 11
12 42
39 12
14 39
38 14
13 38
38 13
18 38
34 18
19 34
30 19
19 30
33 19
22 33
37 22
17 37
36 17
17 36
36 17
16 36
36 16
16 36
36 16
16 36
37 16
12 37
39 12
11 39
37 11
15 37
36 15
14 36
36 14
17 36
33 17
17 33
33 17
15 33
35 15
12 35
35 12
12 35
36 12
14 36
33 14
17 33
34 17
16 34
34 16
12 34
34 12
11 34
49 11
6 49
48 6
5 48
48 5
6 48
47 6
5 47
47 5
9 47
46 9
6 46
49 6
4 49
48 4
3 48
45 3
6 45
44 6
10 44
43 10
10 43
41 10
10 41
36 10
10 36
42 10
5 42
46 5
4 46
46 4
2 46
50 2
7 50
39 7
7 39
43 7
6 43
43 6
4 43
43 4
4 43
41 4
3 41
45 3
2 45
47 2
1 47
43 1
1 43
45 1
9 45
40 9
5 40
42 5
6 42
44 6
8 44
37 8
8 37
34 8
12 34
33 12
10 33
33 10
16 33
30 16
16 30
30 16
22 30
29 22
21 29
29 21
24 29
27 24
28 27
20 28
29 20
17 29
28 17
23 28
27 23
17 27
32 17
15 32
30 15
14 30
32 14
10 32
32 10
10 32
35 10
7 35
34 7
11 34
38 11
6 38
38 6
5 38
39 5
3 39
40 3
1 40
39 1
1 39
39 1
4 39
42 4
2 42
38 2
5 38
35 5
6 35
36 6
2 36
36 2
4 36
35 4
4 35
34 4
6 34
33 6
12 33
30 12
16 30
27 16
16 27
27 16
16 27
27 16
21 27
25 21
21 25
25 21
24 25
23 24
23 23
22 23
23 22
22 23
26 22
20 26
25 20
14 25
28 14
18 28
22 18
20 22
26 20
17 26
31 17
11 31
30 11
13 30
29 13
15 29
26 15
13 26
29 13
10 29
30 10
8 30
31 8
9 31
29 9
8 29
31 8
6 31
31 6
5 31
37 5
1 37
36 1
3 36
34 3
3 34
33 3
4 33
31 4
7 31
30 7
6 30
30 6
12 30
28 12
12 28
28 12
9 28
28 9
19 28
18 19
19 18
20 19
16 20
24 16
17 24
22 17
21 22
21 21
21 21
17 21
18 17
17 18
17 17
19 17
16 19
23 16
12 23
21 12
12 21
25 12
13 25
26 13
10 26
26 10
8 26
32 8
3 32
33 3
2 33
30 2
5 30
29 5
6 29
28 6
6 28
26 6
8 26
24 8
10 24
25 10
7 25
24 7
6 24
24 6
10 24
21 10
12 21
23 12
8 23
23 8
13 23
22 13
15 22
19 15
14 19
19 14
16 19
16 16
18 16
15 18
16 15
20 16
12 20
27 12
4 27
31 4
3 31
35 3
1 35
34 1
1 34
30 1
3 30
25 3
3 25
29 3
1 29
28 1
1 28
27 1
1 27
28 1
2 28
25 2
5 25
24 5
7 24
23 7
4 23
23 4
3 23
23 3
9 23
21 9
11 21
19 11
11 19
16 11
14 16
15 14
17 15
12 17
17 12
12 17
17 12
9 17
17 9
12 17
15 12
9 15
20 9
10 20
19 10
10 19
19 10
3 19
19 3
10 19
18 10
6 18
18 6
10 18
22 10
7 22
21 7
4 21
21 4
8 21
20 8
7 20
17 7
6 17
17 6
7 17
16 7
6 16
20 6
5 20
26 5
1 26
23 1
2 23
21 2
2 21
21 2
2 21
20 2
5 20
22 5
1 22
22 1
1 22
21 1
1 21
20 1
8 20
15 8
6 15
16 6
10 16
13 10
12 13
9 12
12 9
14 12
8 14
12 8
6 12
12 6
6 12
15 6
7 15
14 7
7 14
10 7
11 10
6 11
18 6
3 18
18 3
2 18
19 2
5 19
17 5
4 17
16 4
5 16
11 5
4 11
14 4
2 14
16 2
3 16
17 3
1 17
16 1
3 16
11 3
8 11
7 8
7 7
10 7
5 10
9 5
6 9
4 6
8 4
5 8
13 5
2 13
12 2
1 12
12 1
1 12
10 1
3 10
9 3
1 9
6 1
1 6
7 1
5 7
3 5
8 3
2 8
5 2
1 5
5 1
4 5
1 4
33 1

Case #20
some beads may be lost

Case #21
some beads may be lost

Case #22
some beads may be lost

Case #23
some beads may be lost

Case #24
some beads may be lost

Case #25
some beads may be lost

Case #26
some beads may be lost

Case #27
some beads may be lost

Case #28
some beads may be lost

Case #29
some beads may be lost

Case #30
50 2
50 50
44 50
49 44
48 49
49 48
44 49
49 44
42 49
49 42
38 49
49 38
45 49
46 45
46 46
48 46
37 48
48 37
35 48
50 35
20 50
50 20
36 50
49 36
43 49
44 43
42 44
44 42
32 44
49 32
30 49
49 30
40 49
46 40
39 46
42 39
40 42
41 40
36 41
43 36
32 43
48 32
29 48
49 29
18 49
50 18
26 50
48 26
34 48
36 34
35 36
32 35
37 32
47 37
38 47
42 38
30 42
43 30
31 43
37 31
28 37
31 28
28 31
43 28
26 43
42 26
38 42
46 38
29 46
46 29
27 46
37 27
30 37
44 30
33 44
36 33
33 36
32 33
36 32
30 36
38 30
40 38
25 40
41 25
24 41
43 24
29 43
28 29
28 28
27 28
33 27
30 33
35 30
47 35
17 47
49 17
16 49
50 16
14 50
49 14
22 49
43 22
18 43
46 18
21 46
40 21
21 40
40 21
26 40
37 26
26 37
37 26
25 37
28 25
30 28
35 30
24 35
37 24
23 37
37 23
21 37
36 21
21 36
30 21
24 30
33 24
26 33
25 26
26 25
29 26
24 29
41 24
39 41
45 39
17 45
44 17
16 44
43 16
19 43
40 19
19 40
37 19
19 37
41 19
16 41
46 16
11 46
50 11
8 50
50 8
12 50
45 12
10 45
49 10
13 49
48 13
7 48
50 7
4 50
48 4
7 48
49 7
20 49
42 20
12 42
44 12
13 44
41 13
18 41
37 18
20 37
36 20
19 36
36 19
17 36
40 17
16 40
47 16
2 47
50 2
6 50
49 6
6 49
49 6
8 49
43 8
15 43
37 15
8 37
42 8
7 42
37 7
16 37
36 16
19 36
34 19
16 34
36 16
12 36
40 12
5 40
40 5
6 40
37 6
6 37
44 6
2 44
47 2
4 47
49 4
1 49
44 1
4 44
39 4
11 39
29 11
24 29
28 24
24 28
27 24
17 27
24 17
17 24
32 17
20 32
30 20
20 30
31 20
16 31
32 16
13 32
38 13
14 38
30 14
21 30
33 21
7 33
33 7
6 33
42 6
10 42
35 10
15 35
31 15
19 31
25 19
15 25
31 15
22 31
23 22
21 23
19 21
23 19
17 23
19 17
17 19
28 17
14 28
21 14
11 21
21 11
11 21
36 11
8 36
32 8
10 32
26 10
20 26
11 20
17 11
12 17
30 12
7 30
30 7
6 30
30 6
13 30
28 13
7 28
29 7
16 29
19 16
16 19
24 16
7 24
24 7
7 24
43 7
3 43
36 3
4 36
39 4
5 39
34 5
4 34
40 4
2 40
33 2
5 33
42 5
1 42
43 1
9 43
35 9
3 35
26 3
9 26
21 9
18 21
18 18
16 18
16 16
11 16
25 11
6 25
30 6
4 30
30 4
2 30
37 2
1 37
26 1
13 26
31 13
8 31
21 8
5 21
24 5
1 24
29 1
2 29
23 2
3 23
21 3
13 21
18 13
14 18
19 14
3 19
28 3
4 28
20 4
8 20
16 8
8 16
18 8
15 18
6 15
16 6
14 16
12 14
13 12
7 13
18 7
4 18
20 4
10 20
22 10
1 22
12 1
10 12
14 10
6 14
6 6
17 6
3 17
19 3
5 19
16 5
5 16
8 5
5 8
16 5
3 16
17 3
4 17
14 4
4 14
14 4
3 14
6 3
3 6
16 3
2 16
14 2
11 14
7 11
13 7
2 13
11 2
7 11
7 7
4 7
9 4
2 9
6 2
4 6
2 4
7 2
1 7
4 1
1 4
1 1
6 1
3 6
2 3
2 2

Case #31
49 28
49 49
48 49
50 48
44 50
50 44
46 50
48 46
43 48
50 43
47 50
44 47
47 44
46 47
49 46
45 49
45 45
41 45
49 41
40 49
49 40
40 49
50 40
42 50
47 42
40 47
46 40
37 46
47 37
43 47
44 43
42 44
44 42
43 44
40 43
43 40
42 43
40 42
49 40
39 49
48 39
39 48
42 39
39 42
50 39
36 50
47 36
38 47
48 38
35 48
48 35
32 48
47 32
32 47
47 32
30 47
47 30
38 47
44 38
38 44
44 38
36 44
43 36
41 43
40 41
39 40
40 39
38 40
39 38
45 39
37 45
42 37
37 42
40 37
37 40
38 37
49 38
33 49
46 33
35 46
45 35
33 45
43 33
33 43
49 33
29 49
49 29
31 49
48 31
31 48
45 31
32 45
44 32
30 44
48 30
28 48
47 28
28 47
49 28
26 49
47 26
23 47
47 23
23 47
49 23
29 49
44 29
31 44
41 31
33 41
42 33
32 42
50 32
21 50
47 21
26 47
48 26
27 48
44 27
35 44
40 35
36 40
37 36
35 37
35 35
37 35
36 37
36 36
39 36
33 39
43 33
27 43
44 27
26 44
43 26
34 43
37 34
33 37
36 33
34 36
35 34
33 35
35 33
40 35
30 40
42 30
26 42
48 26
25 48
44 25
29 44
45 29
23 45
48 23
22 48
49 22
20 49
48 20
20 48
48 20
20 48
47 20
19 47
50 19
17 50
48 17
17 48
49 17
15 49
50 15
14 50
49 14
15 49
48 15
12 48
49 12
11 49
49 11
4 49
49 4
24 49
43 24
29 43
46 29
21 46
44 21
21 44
44 21
23 44
43 23
25 43
42 25
28 42
41 28
28 41
39 28
27 39
41 27
26 41
39 26
29 39
38 29
25 38
39 25
31 39
36 31
29 36
40 29
21 40
43 21
20 43
41 20
32 41
33 32
37 33
24 37
42 24
23 42
37 23
23 37
37 23
24 37
38 24
25 38
39 25
21 39
45 21
19 45
42 19
19 42
44 19
16 44
44 16
16 44
47 16
15 47
46 15
14 46
45 14
14 45
45 14
17 45
43 17
15 43
47 15
7 47
48 7
11 48
45 11
12 45
50 12
9 50
46 9
13 46
43 13
14 43
44 14
4 44
49 4
6 49
50 6
18 50
38 18
21 38
39 21
17 39
38 17
17 38
38 17
19 38
41 19
20 41
40 20
30 40
32 30
28 32
36 28
31 36
35 31
27 35
35 27
34 35
31 34
34 31
27 34
36 27
25 36
36 25
26 36
35 26
26 35
35 26
23 35
35 23
29 35
29 29
29 29
30 29
33 30
25 33
33 25
25 33
34 25
23 34
34 23
24 34
33 24
23 33
33 23
23 33
33 23
31 33
31 31
28 31
32 28
27 32
29 27
28 29
27 28
27 27
30 27
26 30
30 26
25 30
32 25
23 32
32 23
23 32
36 23
21 36
37 21
19 37
40 19
15 40
42 15
14 42
41 14
12 41
42 12
11 42
42 11
7 42
48 7
6 48
47 6
10 47
43 10
16 43
39 16
14 39
38 14
18 38
37 18
20 37
35 20
21 35
36 21
19 36
36 19
17 36
37 17
11 37
41 11
10 41
43 10
9 43
43 9
8 43
41 8
7 41
42 7
22 42
30 22
25 30
29 25
24 29
27 24
28 27
26 28
26 26
24 26
26 24
31 26
23 31
28 23
22 28
32 22
19 32
33 19
17 33
32 17
17 32
36 17
14 36
36 14
14 36
36 14
18 36
31 18
18 31
31 18
20 31
35 20
14 35
33 14
14 33
39 14
13 39
39 13
7 39
46 7
6 46
50 6
3 50
44 3
3 44
49 3
5 49
43 5
4 43
42 4
5 42
48 5
2 48
41 2
4 41
43 4
3 43
42 3
5 42
47 5
1 47
46 1
6 46
39 6
12 39
40 12
10 40
40 10
10 40
38 10
16 38
32 16
14 32
36 14
11 36
36 11
15 36
31 15
14 31
32 14
21 32
27 21
21 27
28 21
25 28
24 25
26 24
23 26
29 23
20 29
29 20
18 29
34 18
11 34
35 11
9 35
37 9
13 37
32 13
13 32
33 13
9 33
37 9
6 37
38 6
7 38
40 7
8 40
33 8
9 33
32 9
8 32
32 8
11 32
36 11
6 36
37 6
4 37
36 4
4 36
35 4
4 35
35 4
7 35
33 7
7 33
32 7
17 32
29 17
20 29
27 20
20 27
28 20
17 28
29 17
14 29
28 14
18 28
26 18
23 26
22 23
22 22
25 22
20 25
30 20
11 30
31 11
19 31
25 19
24 25
24 24
20 24
24 20
18 24
25 18
19 25
27 19
13 27
29 13
12 29
27 12
14 27
28 14
16 28
25 16
17 25
24 17
18 24
22 18
23 22
19 23
19 19
23 19
15 23
25 15
12 25
27 12
14 27
26 14
13 26
28 13
11 28
27 11
11 27
34 11
10 34
34 10
4 34
39 4
2 39
45 2
1 45
41 1
3 41
40 3
1 40
36 1
3 36
35 3
3 35
35 3
6 35
33 6
10 33
31 10
9 31
30 9
10 30
28 10
10 28
28 10
10 28
26 10
11 26
25 11
14 25
24 14
14 24
23 14
16 23
22 16
12 22
22 12
20 22
18 20
20 18
14 20
23 14
17 23
17 17
17 17
18 17
14 18
21 14
12 21
20 12
12 20
24 12
10 24
25 10
11 25
22 11
13 22
23 13
10 23
23 10
10 23
22 10
16 22
17 16
16 17
16 16
17 16
13 17
19 13
10 19
19 10
10 19
29 10
9 29
26 9
9 26
27 9
8 27
27 8
5 27
32 5
4 32
38 4
2 38
35 2
1 35
32 1
6 32
31 6
7 31
26 7
8 26
29 8
6 29
33 6
3 33
33 3
3 33
33 3
2 33
31 2
4 31
29 4
4 29
26 4
6 26
25 6
9 25
23 9
9 23
24 9
7 24
24 7
4 24
25 4
8 25
22 8
7 22
22 7
11 22
21 11
11 21
11 11
20 11
12 20
16 12
12 16
17 12
10 17
21 10
8 21
23 8
9 23
20 9
9 20
17 9
9 17
19 9
6 19
19 6
6 19
22 6
7 22
23 7
15 23
15 15
12 15
15 12
14 15
14 14
13 14
12 13
15 12
7 15
15 7
9 15
17 9
8 17
28 8
3 28
26 3
2 26
26 2
5 26
23 5
3 23
23 3
2 23
23 2
4 23
15 4
10 15
11 10
13 11
9 13
10 9
18 10
6 18
13 6
14 13
8 14
21 8
2 21
30 2
1 30
29 1
1 29
26 1
1 26
25 1
1 25
23 1
5 23
22 5
3 22
22 3
5 22
14 5
8 14
11 8
12 11
6 12
18 6
2 18
21 2
1 21
19 1
1 19
16 1
1 16
18 1
3 18
15 3
2 15
15 2
4 15
14 4
5 14
11 5
5 11
12 5
4 12
11 4
4 11
9 4
4 9
13 4
1 13
14 1
7 14
10 7
6 10
10 6
8 10
8 8
4 8
12 4
2 12
8 2
3 8
11 3
1 11
10 1
1 10
6 1
4 6
9 4
5 9
7 5
3 7
4 3
2 4
2 2
1 2
2 1
3 2
28 3

Case #32
some beads may be lost

Case #33
49 8
49 49
48 49
43 48
46 43
44 46
47 44
50 47
50 50
50 50
45 50
45 45
44 45
45 44
43 45
45 43
43 45
46 43
49 46
42 49
45 42
44 45
50 44
40 50
50 40
41 50
49 41
41 49
45 41
43 45
43 43
44 43
42 44
41 42
41 41
41 41
